,btc_softw_dl_14,btc_softw_dl_13,bitc_softw_dl_12,remitt_USDmil_13 ,remitt_USDmil_12,intusers_%ofpop_13,intusers_%pop_12,gdp_13,gdp_12,blackmkt_%gdp_08
Afghanistan,9,90,65,719.1703371,385.1481279,5.9,5.454545455,"20,724,663,537","20,506,795,254",
Albania,194,935,133,803.9329448,1027.055045,60.1,54.65595904,"12,903,854,876","12,344,532,541",32.06
Algeria,524,1556,278,2000,1942,16.5,15.22802676,"210,183,410,526","204,331,017,992",30.87
Andorra,13,130,47,,,94,86.43442462,,,
Angola,43,355,32,0.045,0.045,19.1,16.93721011,"121,703,638,684","115,332,111,283",41.09
Antigua and Barbuda,17,73,8,21.12735074,20.85622,63.4,59,"1,230,000,000","1,194,074,074",
Argentina,3374,23754,5153,526.4630974,575.8391897,59.9,55.8,"609,888,971,018","603,153,016,503",22.64
Armenia,214,614,252,2192.648492,1914.983997,46.3,39.16,"10,432,169,571","9,958,217,880",39
Aruba,21,142,43,6.344776918,4.884916886,78.9,74,,,
Australia,8081,68478,23317,2089.775041,2006.132864,83,79,"1,560,597,150,412","1,532,407,884,934",13.23
Austria,4485,17906,5691,2911.017111,2753.894461,80.6188,80.02999392,"415,671,597,775","394,457,535,617",9.42
Azerbaijan,152,744,216,1733.168,1990.18,58.7,54.2,"73,560,484,385","68,730,906,314",51.21
Bahamas,21,205,69,,,72,71.74820281,"8,149,004,000","8,149,004,000",25.75
Bahrain,51,405,69,,,90,88,"32,788,114,767","30,362,317,939",16.32
Bangladesh,267,1228,293,13857.12776,14236.40827,6.5,5.75,"129,856,605,445","116,033,894,878",33.4
Barbados,38,268,33,81.86879619,81.86879619,75,73.32981369,"4,224,850,000","4,224,850,000",
Belarus,2351,11585,3391,1149.7,1053.1,54.17,46.91,"71,709,513,654","63,615,445,567",41.67
Belgium,3221,19599,5600,11105.31457,10155.63004,82.1702,80.71999055,"508,115,693,500","482,918,013,610",21.08
Belize,15,109,38,74.40171037,75.94564669,31.7,25,"1,604,500,000","1,572,500,000",41.97
Benin,25,95,5,171.9604514,171.9604514,4.9,4.5,"8,307,019,675","7,543,183,759",48.49
Bermuda,13,123,13,1251.093731,1190.775527,95.3,91.29930452,"5,473,536,000","5,473,536,000",
Bhutan,5,26,2,11.80428371,18.14473043,29.9,25.43,"1,883,654,335","1,861,157,558",27.65
Bolivia,129,923,197,1201.339503,1110.532147,39.5,35.5,"30,601,157,742","27,035,110,130",63.34
Bosnia and Herzegovina,305,1581,344,1893.240505,1844.180086,67.9,65.35609448,"17,827,710,271","16,853,238,733",32.03
Botswana,25,138,85,35.78608394,18.14084508,15,11.5,"14,788,476,190","14,537,490,553",31.85
Brazil,11911,53935,10647,2537.23347,2582.640313,51.6,48.56,"2,245,673,032,354","2,248,780,912,396",36.42
Brunei Darussalam,40,200,56,,,64.5,60.27306504,"16,111,135,789","16,953,952,625",30.86
