,btc_softw_dl_13,remitt_USDmil_13,intusers_aspercentpop_13,gdp_13,gdp_13_bill,blackmkt_aspercentgdp_08
Afghanistan,90.00,719.17,5.90,20724663.54,20.72,
Albania,935.00,803.93,60.10,12903854.88,12.90,32.06
Algeria,1556.00,2000.00,16.50,210183410.50,210.18,30.87
Andorra,130.00,,94.00,,,
Angola,355.00,0.05,19.10,121703638.70,121.70,41.09
Antigua and Barbuda,73.00,21.13,63.40,1230000.00,1.23,
Argentina,23754.00,526.46,59.90,609888971.00,609.89,22.64
Armenia,614.00,2192.65,46.30,10432169.57,10.43,39.00
Aruba,142.00,6.34,78.90,,,
Australia,68478.00,2089.78,83.00,1560597150.00,1560.60,13.23
Austria,17906.00,2911.02,80.62,415671597.80,415.67,9.42
Azerbaijan,744.00,1733.17,58.70,73560484.39,73.56,51.21
Bahamas,205.00,,72.00,8149004.00,8.15,25.75
Bahrain,405.00,,90.00,32788114.77,32.79,16.32
Bangladesh,1228.00,13857.13,6.50,129856605.50,129.86,33.40
Barbados,268.00,81.87,75.00,4224850.00,4.22,
Belarus,11585.00,1149.70,54.17,71709513.65,71.71,41.67
Belgium,19599.00,11105.31,82.17,508115693.50,508.12,21.08
Belize,109.00,74.40,31.70,1604500.00,1.60,41.97
Benin,95.00,171.96,4.90,8307019.68,8.31,48.49
Bermuda,123.00,1251.09,95.30,5473536.00,5.47,
Bhutan,26.00,11.80,29.90,1883654.34,1.88,27.65
Bolivia,923.00,1201.34,39.50,30601157.74,30.60,63.34
Bosnia and Herzegovina,1581.00,1893.24,67.90,17827710.27,17.83,32.03
Botswana,138.00,35.79,15.00,14788476.19,14.79,31.85
Brazil,53935.00,2537.23,51.60,2245673032.00,2245.67,36.42
Brunei Darussalam,200.00,,64.50,16111135.79,16.11,30.86
Bulgaria,12195.00,1666.96,53.06,53009839.85,53.01,31.91
Burkina Faso,34.00,120.34,4.40,11582556.07,11.58,39.79
Burundi,3.00,46.43,1.30,2718232.39,2.72,39.41
Canada,113654.00,1199.32,85.80,1826768563.00,1826.77,15.08
Cambodia,499.00,175.95,6.00,15249684.40,15.25,44.36
Cameroon,280.00,210.42,6.40,29274957.49,29.27,31.29
Cape Verde,46.00,175.89,37.50,1888123.34,1.89,32.35
Chile,9378.00,0.30,66.50,277198774.90,277.20,18.31
China,584389.00,59491.29,45.80,9240270452.00,9240.27,11.53
Colombia,6571.00,4119.49,51.70,378147773.30,378.15,32.84
Costa Rica,1934.00,596.40,45.96,49621089.48,49.62,23.67
Croatia,6178.00,1496.55,66.75,57538524.79,57.54,29.77
Cuba,393.00,,25.71,,,
Cyprus,2066.00,82.89,65.45,21911444.50,21.91,26.19
Czech Republic,23737.00,2270.01,74.11,198449884.40,198.45,16.79
Denmark,15109.00,1456.91,94.63,330613595.50,330.61,16.70
Djibouti,30.00,33.27,9.50,1456344.50,1.46,
Dominica,37.00,23.55,59.00,504814.82,0.50,
Dominican Republic,2213.00,4485.50,45.90,60613625.98,60.61,30.11
Ecuador,2035.00,2438.49,40.35,90023493.75,90.02,30.18
Egypt,2945.00,17833.10,49.56,271972822.90,271.97,32.36
El Salvador,572.00,3971.08,23.11,24259100.00,24.26,42.71
Equatorial Guinea,12.00,,16.40,15573546.34,15.57,28.80
Estonia,5874.00,429.31,80.00,24476537.99,24.48,28.70
Ethiopia,170.00,624.36,1.90,46869297.57,46.87,34.26
Faroe Islands,68.00,158.41,90.00,,,
Fiji,56.00,256.84,37.10,4027913.54,4.03,32.86
Finland,17290.00,1065.76,91.51,256842118.70,256.84,16.79
France,60469.00,23336.43,81.92,2734949065.00,2734.95,14.63
French Polynesia,96.00,669.24,56.80,,,
Gabon,41.00,,9.20,19343506.60,19.34,47.37
Gambia,31.00,180.59,14.00,914293.77,0.91,39.26
Georgia,931.00,1945.28,43.10,16126548.03,16.13,59.93
Germany,153747.00,15204.37,83.96,3634822579.00,3634.82,15.23
Ghana,1895.00,137.95,12.30,47928717.95,47.93,37.42
Greece,13122.00,804.75,59.87,241720741.10,241.72,26.16
Guatemala,788.00,5370.64,19.70,53796711.13,53.80,47.39
Guinea,15.00,66.30,1.60,6192819.67,6.19,38.51
Guyana,59.00,328.20,33.00,3075733.57,3.08,33.88
Haiti,97.00,1781.00,10.60,8459326.66,8.46,57.05
Honduras,419.00,3136.00,17.80,18550011.30,18.55,44.44
Hong Kong,17594.00,359.85,74.20,274012815.20,274.01,14.55
Hungary,15547.00,2267.51,72.64,129988654.20,129.99,23.51
Iceland,1484.00,20.63,96.55,14619878.41,14.62,14.60
India,35246.00,69970.36,15.10,1876797199.00,1876.80,20.00
Indonesia,11658.00,7615.35,15.82,868345645.50,868.35,17.82
Iran,688.00,1330.00,31.40,368904351.60,368.90,16.95
