region_orig,region_orig_id,region_dest,region_dest_id,country_orig,origin_OECD,country_orig_id,country_dest,country_dest_id,destination_OECD,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,metadata
North America,1,North America,1,Canada,1,CAN,Canada,CAN,1,57617,191071,84668,96102,0,0,0,0,"Estimates of bilateral migration flows at region and country levels for 5-year periods (mid-year to mid-year): 1990-1995, 1995-2000, 2000-2005, 2005-2010.  "
North America,1,North America,1,Canada,1,CAN,United States,USA,1,57617,191071,84668,96102,1509,190436,238,28,The estimates capture the number of people who change their country of residence over 5-year periods.
North America,1,North America,1,United States,1,USA,Canada,CAN,1,57617,191071,84668,96102,56108,635,84430,96074,"This is Version 19, released in March 2014."
North America,1,North America,1,United States,1,USA,United States,USA,1,57617,191071,84668,96102,0,0,0,0,"If you use the data, please cite us: Guy J. Abel and Nikola Sander (2014). Quantifying Global International Migration Flows. Science, 343 (6178). "
North America,1,Africa,2,Canada,1,CAN,Angola,AGO,0,103553,15550,35446,63080,1831,0,68,20,
North America,1,Africa,2,Canada,1,CAN,Burundi,BDI,0,103553,15550,35446,63080,0,0,0,2121,
North America,1,Africa,2,Canada,1,CAN,Benin,BEN,0,103553,15550,35446,63080,21,0,0,0,
North America,1,Africa,2,Canada,1,CAN,Burkina Faso,BFA,0,103553,15550,35446,63080,669,0,0,0,
North America,1,Africa,2,Canada,1,CAN,Botswana,BWA,0,103553,15550,35446,63080,225,4,34,30,
North America,1,Africa,2,Canada,1,CAN,Central African Republic,CAF,0,103553,15550,35446,63080,73,0,4,11,
North America,1,Africa,2,Canada,1,CAN,Ivory Coast,CIV,0,103553,15550,35446,63080,8,0,0,0,
North America,1,Africa,2,Canada,1,CAN,Cameroon,CMR,0,103553,15550,35446,63080,0,0,0,0,
North America,1,Africa,2,Canada,1,CAN,DR Congo,COD,0,103553,15550,35446,63080,259,0,0,257,
North America,1,Africa,2,Canada,1,CAN,Congo,COG,0,103553,15550,35446,63080,79,0,1,15,
North America,1,Africa,2,Canada,1,CAN,Comoros,COM,0,103553,15550,35446,63080,0,0,0,0,
North America,1,Africa,2,Canada,1,CAN,Cape Verde,CPV,0,103553,15550,35446,63080,19,1,8,5,
