Code,Indicator Name,Long definition,Source
WP_time_10.1,Account (% age 15+) [ts],"Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_01.1,Account at a financial institution (% age 15+) [ts],Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11623_4.1,Account at a financial institution (% age 15+) [w1],"Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.1,Account at a financial institution (% age 15+) [w2],"Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.8,"Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (income, poorest 40%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11623_4.8,"Account at a financial institution, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP_time_02.1,Debit card (% age 15+) [ts],Denotes the percentage of respondents who report having a debit card (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11626.1,Debit card (% age 15+) [w1],Denotes the percentage of respondents with a debit card (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP14888.1,Debit card (% age 15+) [w2],Denotes the percentage of respondents with a debit card (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14889.8,"Debit card in own name, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.1,Credit card (% age 15+) [ts],Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11627.1,Credit card (% age 15+) [w1],Denotes the percentage of respondents with a credit card (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP14891.1,Credit card (% age 15+) [w2],Denotes the percentage of respondents with a credit card (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP_time_03.8,"Credit card, income, poorest 40% (% ages 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (income, poorest 40%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","Inflation as measured by the consumer price index reflects the annual percentage change in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used.","International Monetary Fund, International Financial Statistics and data files."
NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)","GNI per capita (formerly GNP per capita) is the gross national income, converted to U.S. dollars using the World Bank Atlas method, divided by the midyear population. GNI is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. GNI, calculated in national currency, is usually converted to U.S. dollars at official exchange rates for comparisons across economies, although an alternative rate is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate actually applied in international transactions. To smooth fluctuations in prices and exchange rates, a special Atlas method of conversion is used by the World Bank. This applies a conversion factor that averages the exchange rate for a given year and the two preceding years, adjusted for differences in rates of inflation between the country, and through 2000, the G-5 countries (France, Germany, Japan, the United Kingdom, and the United States). From 2001, these countries include the Euro area, Japan, the United Kingdom, and the United States.","World Bank national accounts data, and OECD National Accounts data files."
NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)","GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. Data are in current U.S. dollars. GNI, calculated in national currency, is usually converted to U.S. dollars at official exchange rates for comparisons across economies, although an alternative rate is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate actually applied in international transactions. To smooth fluctuations in prices and exchange rates, a special Atlas method of conversion is used by the World Bank. This applies a conversion factor that averages the exchange rate for a given year and the two preceding years, adjusted for differences in rates of inflation between the country, and through 2000, the G-5 countries (France, Germany, Japan, the United Kingdom, and the United States). From 2001, these countries include the Euro area, Japan, the United Kingdom, and the United States.","World Bank national accounts data, and OECD National Accounts data files."
WP11631.1.1,"Main mode of deposit: ATM (% with an account, age 15+) [w1]","Denotes the percentage of respondents with an account at a formal financial institution who report utilizing an automated teller machine (ATM) as their usual mode of access to put cash (paper or coins) into their account(s) (% age 15+, with an account). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11631.4.1,"Main mode of deposit: bank agent (% with an account, age 15+) [w1]","Denotes the percentage of respondents with an account at a formal financial institution who report utilizing some other person who is associated with their bank or financial institution as their usual mode of access to put cash (paper or coins) into their account(s) (% age 15+, with an account). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11631.3.1,"Main mode of deposit: retail store (% with an account, age 15+) [w1]","Denotes the percentage of respondents with an account at a formal financial institution who report transacting with someone over the counter at a retail store as their usual mode of access to put cash (paper or coins) into their account(s) (% age 15+, with an account). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15161.1,"Made transaction from an account at a financial institution using a mobile phone (% with an account, age 15+) [w2]","Denotes the percentage of respondents with an account at a bank or another type of financial institution who report making a transaction with money from their account using a mobile phone in the past 12 months. This can include using a mobile phone to make payments, to make purchases, or to send or receive money (% with an account, age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
