Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Armenia,ARM,5-bank asset concentration,GFDD.OI.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,88.86057,100,100,100,100,99.91947,82.67579,78.2821,73.94026,66.22321,65.44133,65.19302,61.94305
Armenia,ARM,"ATMs per 100,000 adults",GFDD.AI.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.994404,4.845461,7.455131,13.89635,21.98395,28.54583,31.96698,40.88047
Armenia,ARM,Account at a formal financial institution (% age 15+),GFDD.AI.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.48687
Armenia,ARM,Account used for business purposes (% age 15+),GFDD.AI.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.466248
Armenia,ARM,Account used to receive government payments (% age 15+),GFDD.AI.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.496544
Armenia,ARM,Account used to receive remittances (% age 15+),GFDD.AI.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.458428
Armenia,ARM,Account used to receive wages (% age 15+),GFDD.AI.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.403015
Armenia,ARM,Bank Z-score,GFDD.SI.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23253,8.765779,10.1498,14.46353,12.90812,16.2919,20.35306,21.40597,20.50272,22.53227,17.60303,18.88375,16.61201
Armenia,ARM,"Bank accounts per 1,000 adults",GFDD.AI.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.1767,356.311,365.1784,454.0722,461.3578,521.2769,586.0536,711.3533
Armenia,ARM,"Bank branches per 100,000 adults",GFDD.AI.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6702,12.03011,13.25357,15.17086,16.46753,16.79405,17.4218,18.75883
Armenia,ARM,Bank capital to total assets (%),GFDD.SI.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.8,14.3,8.8,18.4,18.1,17.8,21.5,22.9,22.5,23,21,20.4,17.9
Armenia,ARM,Bank concentration (%),GFDD.OI.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.13081,63.18433,66.20715,81.28385,87.08045,83.09602,82.50558,68.54722,63.04542,57.00284,47.77225,42.4962,42.46091,40.10258
Armenia,ARM,Bank cost to income ratio (%),GFDD.EI.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.34408,60.90902,55.43089,53.83511,56.64906,53.31546,51.22158,49.65751,53.47122,54.10733,56.34717,64.48552,58.33823,55.59578
Armenia,ARM,Bank credit to bank deposits (%),GFDD.SI.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9038,17.43413,153.4926,253.1008,191.7368,149.7518,130.8896,129.7345,110.8686,95.06638,74.49761,64.90104,70.18167,80.73296,84.96233,116.6467,160.9714,143.37,161.2625,168.0856
Armenia,ARM,Bank deposits to GDP (%),GFDD.OI.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1859279,5.835945,2.766947,2.633707,3.217818,4.581893,6.180628,7.630472,7.931704,7.875901,8.03485,8.63496,9.113576,9.344293,10.01766,10.8212,14.59594,16.22688,18.11811
Armenia,ARM,Bank lending-deposit spread,GFDD.EI.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.678,34.167,28.151,23.549,11.499,13.488,11.786,11.538,13.955,13.737,12.171,10.688,11.261,10.421,10.112,10.25,8.506
Armenia,ARM,Bank net interest margin (%),GFDD.EI.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55202,8.13231,7.142064,5.040448,6.311736,7.423631,9.18821,8.859309,8.485799,8.339644,5.83593,6.920072,6.910658
Armenia,ARM,Bank noninterest income to total income (%),GFDD.EI.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0799,39.98831,35.14322,42.34818,45.60635,43.74794,45.64348,51.83482,43.43621,40.62411,35.74578,31.70596,29.51608,25.11686
Armenia,ARM,Bank nonperforming loans to gross loans (%),GFDD.SI.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,17.5,,9.9,5.4,2.1,1.9,2.4,2.4,4.3,4.9,3,4.9
Armenia,ARM,Bank overhead costs to total assets (%),GFDD.EI.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.518451,5.387325,4.405606,3.616755,3.968267,4.277537,6.321965,6.039707,5.815937,5.771356,4.245797,4.358623,3.956511
Armenia,ARM,Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,27.8,25,13.6,30.5,33.8,32.3,33.7,34.9,30.1,27.5,28.4,22.2,18.6
Armenia,ARM,"Bank return on assets (%, after tax)",GFDD.EI.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.039286,0.3023989,0.498938,2.552993,2.403762,3.599482,2.856629,3.981127,3.355586,3.031224,0.8831701,2.031555,1.781497
Armenia,ARM,"Bank return on assets (%, before tax)",GFDD.EI.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.581492,0.6603989,0.6538388,2.839066,2.828996,4.317919,3.808857,4.942912,4.299092,3.889796,1.290259,2.576148,2.273094
Armenia,ARM,"Bank return on equity (%, after tax)",GFDD.EI.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.68387,3.06769,4.731811,20.02676,18.06377,25.54003,15.11053,19.11224,16.29268,13.77114,4.153532,10.29346,9.61149
