,btc_dl,remitt_in_13,remitt_percentgdp_2013,gdp_13,mobile_phone_13,int_users_per100,account_percentfin_inst,inflation_13,blk_market_08,mig_to_OECD,population,btc_dl_percapita
Cuba,102.00,,,,17.71,25.71,,,,178883.00,11265629.00,0.00
Syrian Arab Republic,174.00,1622.54,,,55.97,26.20,,,,,22845550.00,0.00
Andorra,138.00,,,,80.70,94.00,,,,,79218.00,0.00
Bermuda,110.00,1304.81,,,144.32,95.30,,,,,65024.00,0.00
French Polynesia,81.00,669.24,,,85.58,56.80,,,,824.00,276831.00,0.00
New Caledonia,84.00,478.85,,,93.76,66.00,,,,685.00,262000.00,0.00
Cayman Islands,74.00,,,,167.77,74.10,,,,,58435.00,0.00
Monaco,68.00,,,,93.74,90.70,,,,,37831.00,0.00
Liechtenstein,70.00,,,,97.77,93.80,,,,,36925.00,0.00
Greenland,20.00,,,,105.99,65.80,,,,,56483.00,0.00
Marshall Islands,1.00,22.21,11.63,190.91,,11.70,,,,,52634.00,0.00
Barbados,216.00,86.63,,,108.10,75.00,,1.80,,5591.00,284644.00,0.00
"Bahamas, The",176.00,,,8420.00,76.05,72.00,,0.37,,,377374.00,0.00
Aruba,119.00,7.45,,,134.87,78.90,,-2.37,,141.00,102911.00,0.00
San Marino,36.00,,,,116.95,50.80,,1.60,,,31448.00,0.00
Timor-Leste,3.00,45.16,,,57.38,1.10,,11.16,,33165.00,1180069.00,0.00
Somalia,2.00,,,,49.38,1.50,7.86,,,104568.00,10495583.00,0.00
Samoa,4.00,140.35,17.50,801.92,,15.30,,0.61,,15640.00,190372.00,0.00
Myanmar,134.00,232.21,,,12.83,1.20,22.62,5.52,,52923.00,53259018.00,0.00
"Congo, Rep.",33.00,,,14085.85,104.77,6.60,16.68,5.97,,,4447632.00,0.00
"Macao SAR, China",699.00,50.13,0.10,51753.09,304.08,65.80,,5.51,,,566375.00,0.00
Uzbekistan,713.00,5587.68,9.84,56795.66,74.31,38.20,40.71,,,36510.00,30243200.00,0.00
Qatar,524.00,495.87,0.24,203235.16,152.64,85.30,,3.13,,,2168673.00,0.00
Brunei Darussalam,183.00,,,16111.14,112.21,64.50,,0.38,30.86,,417784.00,0.00
Lao PDR,111.00,59.76,0.53,11242.53,66.20,12.50,,6.36,,,6769727.00,0.00
Libya,94.00,,,74199.53,165.04,16.50,,2.61,30.69,38769.00,6201521.00,0.00
Antigua and Barbuda,55.00,21.13,1.76,1200.59,127.09,63.40,,1.06,,,89985.00,0.00
